signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-35,0.00000000e+00,1.50000000e+02,7.74184460e-06,1.53570000e-05,1.17497274e-03,1.17497274e-01
Drag (Lx),HDM,HPROM-10,0.00000000e+00,1.50000000e+02,4.14087775e-05,7.19790000e-05,6.28457267e-03,6.28457267e-01
Drag (Lx),HDM,HPROM-ANN-10,0.00000000e+00,1.50000000e+02,1.05038237e-05,3.04710000e-05,1.59415581e-03,1.59415581e-01
Drag (Lx),HDM,HPROM-RBF-10,0.00000000e+00,1.50000000e+02,1.10282022e-05,2.48740000e-05,1.67374027e-03,1.67374027e-01
Drag (Lx),HDM,HPROM-GPR-10,0.00000000e+00,1.50000000e+02,8.80992264e-06,2.66870000e-05,1.33707398e-03,1.33707398e-01
Lift (Lz),HDM,HPROM-35,0.00000000e+00,1.50000000e+02,1.71309190e-05,5.81488000e-05,1.73800280e-02,1.73800280e+00
Lift (Lz),HDM,HPROM-10,0.00000000e+00,1.50000000e+02,1.47690490e-04,5.06133200e-04,1.49838130e-01,1.49838130e+01
Lift (Lz),HDM,HPROM-ANN-10,0.00000000e+00,1.50000000e+02,1.75565046e-04,5.25164900e-04,1.78118023e-01,1.78118023e+01
Lift (Lz),HDM,HPROM-RBF-10,0.00000000e+00,1.50000000e+02,1.51279810e-04,3.57558900e-04,1.53479643e-01,1.53479643e+01
Lift (Lz),HDM,HPROM-GPR-10,0.00000000e+00,1.50000000e+02,1.39554109e-04,4.19587000e-04,1.41583433e-01,1.41583433e+01
Probe Pressure,HDM,HPROM-35,0.00000000e+00,1.50000000e+02,2.76797825e-03,9.96000000e-03,1.56180010e-04,1.56180010e-02
Probe Pressure,HDM,HPROM-10,0.00000000e+00,1.50000000e+02,1.31228432e-02,4.05400000e-02,7.40441430e-04,7.40441430e-02
Probe Pressure,HDM,HPROM-ANN-10,0.00000000e+00,1.50000000e+02,1.03370160e-02,3.32700000e-02,5.83254317e-04,5.83254317e-02
Probe Pressure,HDM,HPROM-RBF-10,0.00000000e+00,1.50000000e+02,8.83230496e-03,2.39800000e-02,4.98352714e-04,4.98352714e-02
Probe Pressure,HDM,HPROM-GPR-10,0.00000000e+00,1.50000000e+02,8.36972803e-03,2.67100000e-02,4.72252340e-04,4.72252340e-02
Probe Velocity X,HDM,HPROM-35,0.00000000e+00,1.50000000e+02,7.52258235e-03,2.45776000e-02,1.16913169e-02,1.16913169e+00
Probe Velocity X,HDM,HPROM-10,0.00000000e+00,1.50000000e+02,5.83355462e-02,1.15328600e-01,9.06629300e-02,9.06629300e+00
Probe Velocity X,HDM,HPROM-ANN-10,0.00000000e+00,1.50000000e+02,1.91665178e-02,6.75061000e-02,2.97878870e-02,2.97878870e+00
Probe Velocity X,HDM,HPROM-RBF-10,0.00000000e+00,1.50000000e+02,1.74125945e-02,4.62913000e-02,2.70620049e-02,2.70620049e+00
Probe Velocity X,HDM,HPROM-GPR-10,0.00000000e+00,1.50000000e+02,1.60485077e-02,5.39059000e-02,2.49419920e-02,2.49419920e+00
Probe Velocity Z,HDM,HPROM-35,0.00000000e+00,1.50000000e+02,1.30823144e-02,3.76513000e-02,3.41641174e-02,3.41641174e+00
Probe Velocity Z,HDM,HPROM-10,0.00000000e+00,1.50000000e+02,8.75420632e-02,2.37451200e-01,2.28613778e-01,2.28613778e+01
Probe Velocity Z,HDM,HPROM-ANN-10,0.00000000e+00,1.50000000e+02,6.24031485e-02,2.67385100e-01,1.62964168e-01,1.62964168e+01
Probe Velocity Z,HDM,HPROM-RBF-10,0.00000000e+00,1.50000000e+02,5.73877476e-02,1.95276690e-01,1.49866582e-01,1.49866582e+01
Probe Velocity Z,HDM,HPROM-GPR-10,0.00000000e+00,1.50000000e+02,5.22316940e-02,2.23647980e-01,1.36401685e-01,1.36401685e+01
