signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,PROM-35,0.00000000e+00,3.73000000e+01,3.10582087e-06,1.08780000e-05,5.31576374e-04,5.31576374e-02
Drag (Lx),HDM,PROM-10,0.00000000e+00,1.50000000e+02,1.65027839e-04,3.09781000e-04,2.50461258e-02,2.50461258e+00
Drag (Lx),HDM,PROM-ANN-10,0.00000000e+00,1.50000000e+02,2.53883505e-05,7.18700000e-05,3.85316696e-03,3.85316696e-01
Drag (Lx),HDM,PROM-RBF-10,0.00000000e+00,9.00000000e-01,1.31377319e-08,1.90000000e-08,2.32279028e-06,2.32279028e-04
Drag (Lx),HDM,PROM-GPR-10,0.00000000e+00,1.50000000e+02,4.32498799e-05,1.38625000e-04,6.56399511e-03,6.56399511e-01
Lift (Lz),HDM,PROM-35,0.00000000e+00,3.73000000e+01,6.18065502e-06,2.31882000e-05,2.46960076e-02,2.46960076e+00
Lift (Lz),HDM,PROM-10,0.00000000e+00,1.50000000e+02,5.98508085e-04,1.84359620e-03,6.07211283e-01,6.07211283e+01
Lift (Lz),HDM,PROM-ANN-10,0.00000000e+00,1.50000000e+02,1.65864492e-04,6.13439500e-04,1.68276408e-01,1.68276408e+01
Lift (Lz),HDM,PROM-RBF-10,0.00000000e+00,9.00000000e-01,1.26629558e-08,2.45800000e-08,8.31556666e-04,8.31556666e-02
Lift (Lz),HDM,PROM-GPR-10,0.00000000e+00,1.50000000e+02,3.01660169e-04,1.17352780e-03,3.06046757e-01,3.06046757e+01
Probe Pressure,HDM,PROM-35,0.00000000e+00,3.73000000e+01,2.76279295e-03,1.07100000e-02,1.55764828e-04,1.55764828e-02
Probe Pressure,HDM,PROM-10,0.00000000e+00,1.50000000e+02,3.90147712e-02,1.03500000e-01,2.20136388e-03,2.20136388e-01
Probe Pressure,HDM,PROM-ANN-10,0.00000000e+00,1.50000000e+02,9.09091366e-03,3.54700000e-02,5.12944415e-04,5.12944415e-02
Probe Pressure,HDM,PROM-RBF-10,0.00000000e+00,9.00000000e-01,2.56904652e-05,4.00000000e-05,1.44602624e-06,1.44602624e-04
Probe Pressure,HDM,PROM-GPR-10,0.00000000e+00,1.50000000e+02,1.44974726e-02,6.66300000e-02,8.18003323e-04,8.18003323e-02
Probe Velocity X,HDM,PROM-35,0.00000000e+00,3.73000000e+01,8.28044491e-03,3.41971000e-02,2.71352093e-02,2.71352093e+00
Probe Velocity X,HDM,PROM-10,0.00000000e+00,1.50000000e+02,1.35371774e-01,3.27892600e-01,2.10389761e-01,2.10389761e+01
Probe Velocity X,HDM,PROM-ANN-10,0.00000000e+00,1.50000000e+02,2.14880196e-02,8.05301000e-02,3.33958785e-02,3.33958785e+00
Probe Velocity X,HDM,PROM-RBF-10,0.00000000e+00,9.00000000e-01,4.76449581e-05,7.05000000e-05,6.63506397e-04,6.63506397e-02
Probe Velocity X,HDM,PROM-GPR-10,0.00000000e+00,1.50000000e+02,3.79898049e-02,1.57876100e-01,5.90423378e-02,5.90423378e+00
Probe Velocity Z,HDM,PROM-35,0.00000000e+00,3.73000000e+01,7.66623075e-03,2.46441000e-02,2.87891317e-02,2.87891317e+00
Probe Velocity Z,HDM,PROM-10,0.00000000e+00,1.50000000e+02,2.11762972e-01,7.98846300e-01,5.53013390e-01,5.53013390e+01
Probe Velocity Z,HDM,PROM-ANN-10,0.00000000e+00,1.50000000e+02,6.81523254e-02,3.39325000e-01,1.77977992e-01,1.77977992e+01
Probe Velocity Z,HDM,PROM-RBF-10,0.00000000e+00,9.00000000e-01,9.55633468e-06,1.26380000e-05,1.10196145e-03,1.10196145e-01
Probe Velocity Z,HDM,PROM-GPR-10,0.00000000e+00,1.50000000e+02,1.14854599e-01,5.93416000e-01,2.99939741e-01,2.99939741e+01
